inning,top_or_bottom,atbat_num_within_game,batter_name,batter_team,stand,pitcher_name,pitcher_team,p_throws,home_team_runs,away_team_runs,pitch_type_name,pitch_type_confidence,balls,strikes,last_pitch_in_atbat,pitch_num_within_atbat,break_angle,break_length,break_y,start_speed,end_speed,spin_dir,spin_rate,sz_bot,sz_top,zone,decision
1,top,1,Jean Segura,Seattle Mariners,R,Brad Peacock,Houston Astros,R,0,0,slider,0.915,0,0,0,1,-18.3,7.2,23.8,82,75.3,134.282,2622.145,1.504,3.301,1,Strike
1,top,1,Jean Segura,Seattle Mariners,R,Brad Peacock,Houston Astros,R,0,0,two-seam fastball,0.87,0,1,0,2,35.9,5.8,23.8,91.2,83.7,231.848,2312.752,1.504,3.301,13,Ball
1,top,1,Jean Segura,Seattle Mariners,R,Brad Peacock,Houston Astros,R,0,0,four-seam fastball,0.547,1,1,0,3,35.5,5.5,23.8,92.9,85.3,232.257,2382.644,1.504,3.301,5,Strike
1,top,1,Jean Segura,Seattle Mariners,R,Brad Peacock,Houston Astros,R,0,0,slider,0.923,1,2,1,4,-22.8,8.5,23.8,82,74.7,112.503,2782.778,1.504,3.301,12,Strike
1,top,2,Benjamin Gamel,Seattle Mariners,L,Brad Peacock,Houston Astros,R,0,0,knuckle curveball,0.571,0,0,0,1,-9.2,13.5,23.8,78.4,72.3,30.157,2607.121,1.513,3.319,14,Ball
1,top,2,Benjamin Gamel,Seattle Mariners,L,Brad Peacock,Houston Astros,R,0,0,two-seam fastball,0.93,1,0,0,2,37,6.3,23.8,92.6,84.7,242.024,2355.035,1.513,3.319,13,Ball
1,top,2,Benjamin Gamel,Seattle Mariners,L,Brad Peacock,Houston Astros,R,0,0,four-seam fastball,0.714,2,0,0,3,35.8,5.5,23.8,92.7,84.9,231.352,2273.363,1.513,3.319,13,Strike
1,top,2,Benjamin Gamel,Seattle Mariners,L,Brad Peacock,Houston Astros,R,0,0,slider,0.953,2,1,1,4,-10.3,8.3,23.8,82.9,76.3,121.845,,1.513,3.319,5,Strike
1,top,3,Robinson Cano,Seattle Mariners,L,Brad Peacock,Houston Astros,R,0,0,slider,0.969,0,0,0,1,-6.2,8,23.9,83.8,77.4,141.173,,1.513,3.319,13,Strike
1,top,3,Robinson Cano,Seattle Mariners,L,Brad Peacock,Houston Astros,R,0,0,slider,0.819,0,1,0,2,-10.3,13.8,23.8,79.3,72.9,30.536,2693.704,1.513,3.319,9,Strike
