RecordID,game_selector,gid,game_date,year,month,day,local_game_time,stadium_name,stadium_location,split,season_type,away_team_abbr,away_team_name,away_team_type,away_team_mascot,home_team_abbr,home_team_name,home_team_type,home_team_mascot,game_number,inning,top_or_bottom,atbat_num_within_game,start_tfs,start_tfs_zulu,batter_id,batter_name,batter_team,stand,b_height,pitcher_id,pitcher_name,pitcher_team,p_throws,event,event_es,home_team_runs,away_team_runs,pitch_result,pitch_type,pitch_type_name,pitch_type_confidence,balls,strikes,last_pitch_in_atbat,pitch_num_within_atbat,ax,ay,az,break_angle,break_length,break_y,des,des_es,end_speed,event_num,id,nasty,pfx_x,pfx_z,play_guid,px,pz,spin_dir,spin_rate,start_speed,sz_bot,sz_top,tfs,tfs_zulu,vx0,vy0,vz0,x0,y0,z0,zone,away_team,home_team
1,Mariners at Astros,gid_2017_07_18_seamlb_houmlb_1,2017-07-18,2017,07,18,19:10,Minute Maid Park,"Houston, TX",night,R,sea,Seattle Mariners,mlb,Mariners,hou,Houston Astros,mlb,Astros,1,1,top,1,001046,2017-07-19T00:10:46Z,516416,Jean Segura,Seattle Mariners,R,5-10,502748,Brad Peacock,Houston Astros,R,Groundout,Roletazo de Out,0,0,S,SL,slider,0.915,0,0,0,1,7.940817,21.87045,-24.43008,-18.3,7.2,23.8,Called Strike,Strike cantado,75.3,3,3,74,5.499455,5.363125,5127791c-ba44-4df2-84e9-85db147b5f5e,-0.544556,2.979526,134.282,2622.145,82,1.504,3.301,001051,2017-07-19T00:10:51Z,0.9474486,-119.1313,-0.4946032181551677,-1.66153334021068,49.99999999999996,5.388919898446925,1,Mariners,Astros
2,Mariners at Astros,gid_2017_07_18_seamlb_houmlb_1,2017-07-18,2017,07,18,19:10,Minute Maid Park,"Houston, TX",night,R,sea,Seattle Mariners,mlb,Mariners,hou,Houston Astros,mlb,Astros,1,1,top,1,001046,2017-07-19T00:10:46Z,516416,Jean Segura,Seattle Mariners,R,5-10,502748,Brad Peacock,Houston Astros,R,Groundout,Roletazo de Out,0,0,B,FT,two-seam fastball,0.87,0,1,0,2,-16.05269,27.51615,-19.56376,35.9,5.8,23.8,Ball,Bola mala,83.7,4,4,60,-9.000783,7.070619,72933347-45da-4dcb-ad50-9ff5694471c5,-0.5266775,1.269845,231.848,2312.752,91.2,1.504,3.301,001105,2017-07-19T00:11:05Z,5.002901,-132.5133,-6.022298935926925,-1.2668183279162484,49.99999999999996,4.994555704094194,13,Mariners,Astros
3,Mariners at Astros,gid_2017_07_18_seamlb_houmlb_1,2017-07-18,2017,07,18,19:10,Minute Maid Park,"Houston, TX",night,R,sea,Seattle Mariners,mlb,Mariners,hou,Houston Astros,mlb,Astros,1,1,top,1,001046,2017-07-19T00:10:46Z,516416,Jean Segura,Seattle Mariners,R,5-10,502748,Brad Peacock,Houston Astros,R,Groundout,Roletazo de Out,0,0,S,FF,four-seam fastball,0.547,1,1,0,3,-15.79794,27.30202,-19.94551,35.5,5.5,23.8,Foul,Foul,85.3,5,5,29,-8.504617,6.583073,7a569380-bbb9-4c2f-958b-a7cd35fbd865,-0.1020857,2.671915,232.257,2382.644,92.9,1.504,3.301,001122,2017-07-19T00:11:22Z,6.00598,-134.9373,-2.648764244345224,-1.2434659781382107,49.99999999999994,5.059628478893362,5,Mariners,Astros
4,Mariners at Astros,gid_2017_07_18_seamlb_houmlb_1,2017-07-18,2017,07,18,19:10,Minute Maid Park,"Houston, TX",night,R,sea,Seattle Mariners,mlb,Mariners,hou,Houston Astros,mlb,Astros,1,1,top,1,001046,2017-07-19T00:10:46Z,516416,Jean Segura,Seattle Mariners,R,5-10,502748,Brad Peacock,Houston Astros,R,Groundout,Roletazo de Out,0,0,X,SL,slider,0.923,1,2,1,4,10.94786,23.96894,-27.63866,-22.8,8.5,23.8,"In play, out(s)","En juego, out(s)",74.7,6,6,56,7.681081,3.182053,14d40711-ee65-4f7c-9962-5688dc607d73,0.9678957,3.114916,112.503,2782.778,82,1.504,3.301,001145,2017-07-19T00:11:45Z,3.263602,-118.9615,0.8375880250123064,-1.4216675441973705,50.00000000000002,5.27409867010348,12,Mariners,Astros
5,Mariners at Astros,gid_2017_07_18_seamlb_houmlb_1,2017-07-18,2017,07,18,19:10,Minute Maid Park,"Houston, TX",night,R,sea,Seattle Mariners,mlb,Mariners,hou,Houston Astros,mlb,Astros,1,1,top,2,001159,2017-07-19T00:11:59Z,592325,Benjamin Gamel,Seattle Mariners,L,5-11,502748,Brad Peacock,Houston Astros,R,Flyout,Elevado de Out,0,0,B,KC,knuckle curveball,0.571,0,0,0,1,6.072139,22.47187,-42.62443,-9.2,13.5,23.8,Ball,Bola mala,72.3,10,10,95,4.663647,-8.026311,ded54643-4d8d-42aa-bb05-ec4c3cd6f699,0.8837658,1.163175,30.157,2607.121,78.4,1.513,3.319,001224,2017-07-19T00:12:24Z,5.554451,-113.8521,-0.6225418685387071,-2.2006516013961623,50.00000000000002,5.687797860628187,14,Mariners,Astros
6,Mariners at Astros,gid_2017_07_18_seamlb_houmlb_1,2017-07-18,2017,07,18,19:10,Minute Maid Park,"Houston, TX",night,R,sea,Seattle Mariners,mlb,Mariners,hou,Houston Astros,mlb,Astros,1,1,top,2,001159,2017-07-19T00:11:59Z,592325,Benjamin Gamel,Seattle Mariners,L,5-11,502748,Brad Peacock,Houston Astros,R,Flyout,Elevado de Out,0,0,B,FT,two-seam fastball,0.93,1,0,0,2,-18.58294,28.74741,-22.30339,37,6.3,23.8,Ball,Bola mala,84.7,11,11,25,-10.13437,5.383051,3782e08e-35ee-4780-85d7-7905a986e4f7,-1.54259,2.361691,242.024,2355.035,92.6,1.513,3.319,001238,2017-07-19T00:12:38Z,6.355604,-134.4663,-2.86642262536807,-2.6184175353490273,49.99999999999994,5.021155716010177,13,Mariners,Astros
7,Mariners at Astros,gid_2017_07_18_seamlb_houmlb_1,2017-07-18,2017,07,18,19:10,Minute Maid Park,"Houston, TX",night,R,sea,Seattle Mariners,mlb,Mariners,hou,Houston Astros,mlb,Astros,1,1,top,2,001159,2017-07-19T00:11:59Z,592325,Benjamin Gamel,Seattle Mariners,L,5-11,502748,Brad Peacock,Houston Astros,R,Flyout,Elevado de Out,0,0,S,FF,four-seam fastball,0.714,2,0,0,3,-16.10593,27.89137,-19.29515,35.8,5.5,23.8,Called Strike,Strike cantado,84.9,12,12,50,-8.759128,7.004126,08ac07bd-c611-428e-a197-b3abe1be76e4,-0.7111548,2.171559,231.352,2273.363,92.7,1.513,3.319,001252,2017-07-19T00:12:52Z,7.927029,-134.4451,-4.009896164336429,-2.55327597403911,50.00000000000003,5.043540560677972,13,Mariners,Astros
8,Mariners at Astros,gid_2017_07_18_seamlb_houmlb_1,2017-07-18,2017,07,18,19:10,Minute Maid Park,"Houston, TX",night,R,sea,Seattle Mariners,mlb,Mariners,hou,Houston Astros,mlb,Astros,1,1,top,2,001159,2017-07-19T00:11:59Z,592325,Benjamin Gamel,Seattle Mariners,L,5-11,502748,Brad Peacock,Houston Astros,R,Flyout,Elevado de Out,0,0,X,SL,slider,0.953,2,1,1,4,4.421444,22.58939,-29.42786,-10.3,8.3,23.8,"In play, out(s)","En juego, out(s)",76.3,13,13,16,3.001564,1.864291,48469ea5-777d-4f21-b31b-306b3f6cdcd7,-7.276557e-02,2.346316,121.845,,82.9,1.513,3.319,001308,2017-07-19T00:13:08Z,5.520717,-120.3957,-0.5874494899640256,-2.7820730430248166,50.00000000000003,5.189696289293169,5,Mariners,Astros
9,Mariners at Astros,gid_2017_07_18_seamlb_houmlb_1,2017-07-18,2017,07,18,19:10,Minute Maid Park,"Houston, TX",night,R,sea,Seattle Mariners,mlb,Mariners,hou,Houston Astros,mlb,Astros,1,1,top,3,001322,2017-07-19T00:13:22Z,429664,Robinson Cano,Seattle Mariners,L,6-0,502748,Brad Peacock,Houston Astros,R,Strikeout,Ponche,0,0,S,SL,slider,0.969,0,0,0,1,2.375324,22.51524,-29.22262,-6.2,8,23.9,Called Strike,Strike cantado,77.4,17,17,75,1.575578,1.957712,24e9e16c-b9c7-4e30-b72c-b4b1cc1e8d17,-0.3345734,1.404966,141.173,,83.8,1.513,3.319,001357,2017-07-19T00:13:57Z,5.164704,-121.6506,-2.9960059601809683,-2.684506517078708,50.00000000000002,5.169748835097428,13,Mariners,Astros
10,Mariners at Astros,gid_2017_07_18_seamlb_houmlb_1,2017-07-18,2017,07,18,19:10,Minute Maid Park,"Houston, TX",night,R,sea,Seattle Mariners,mlb,Mariners,hou,Houston Astros,mlb,Astros,1,1,top,3,001322,2017-07-19T00:13:22Z,429664,Robinson Cano,Seattle Mariners,L,6-0,502748,Brad Peacock,Houston Astros,R,Strikeout,Ponche,0,0,S,SL,slider,0.819,0,1,0,2,7.447529,22.83203,-44.79866,-10.3,13.8,23.8,Foul,Foul,72.9,18,18,33,5.584613,-9.466711,c6fbe0cf-7afa-4c6c-a559-58b7358f015c,0.3576073,2.025733,30.536,2693.704,79.3,1.513,3.319,001423,2017-07-19T00:14:23Z,4.261602,-115.1758,1.4103184361565728,-2.2467519240594664,50.00000000000002,5.761950573177293,9,Mariners,Astros
