@relation Cleaned_mariners-vs-astros-weka.filters.unsupervised.attribute.Discretize-O-B4-M-1.0-Rfirst-last-precision6

@attribute inning {'\'(-inf-3]\'','\'(3-5]\'','\'(5-7]\'','\'(7-inf)\''}
@attribute top_or_bottom {top,bottom}
@attribute atbat_num_within_game {'\'All\''}
@attribute batter_name {'Jean Segura','Benjamin Gamel','Robinson Cano','George Springer','Jose Altuve','Josh Reddick','Carlos Beltran','Yulieski Gurriel','Marwin Gonzalez','Nelson Cruz','Kyle Seager','Danny Valencia','Evan Gattis','Nori Aoki','Alex Bregman','Jarrod Dyson','Carlos Ruiz','Guillermo Heredia'}
@attribute batter_team {'Seattle Mariners','Houston Astros'}
@attribute stand {R,L}
@attribute pitcher_name {'Brad Peacock','Samuel Gaviglio','Emilio Pagan','James Hoyt','Reymin Guduan','Luke Gregerson'}
@attribute pitcher_team {'Houston Astros','Seattle Mariners'}
@attribute p_throws {R,L}
@attribute home_team_runs {'\'(-inf-1.5]\'','\'(1.5-3]\'','\'(3-4.5]\'','\'(4.5-inf)\''}
@attribute away_team_runs {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute pitch_type_name {slider,'two-seam fastball','four-seam fastball','knuckle curveball',sinker,curveball,changeup}
@attribute pitch_type_confidence {'\'(-inf-0.659]\'','\'(0.659-0.771]\'','\'(0.771-0.883]\'','\'(0.883-inf)\''}
@attribute balls {'\'(-inf-0.75]\'','\'(0.75-1.5]\'','\'(1.5-inf)\''}
@attribute strikes {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute last_pitch_in_atbat {'\'(-inf-0.25]\'','\'(0.25-inf)\''}
@attribute pitch_num_within_atbat {'\'(-inf-3]\'','\'(3-5]\'','\'(5-7]\'','\'(7-inf)\''}
@attribute break_angle {'\'(-inf--14.675]\'','\'(-14.675-6.55]\'','\'(6.55-27.775]\'','\'(27.775-inf)\''}
@attribute break_length {'\'(-inf-6.075]\'','\'(6.075-9.15]\'','\'(9.15-12.225]\'','\'(12.225-inf)\''}
@attribute break_y {'\'(-inf-23.75]\'','\'(23.75-inf)\''}
@attribute start_speed {'\'(-inf-79.825]\'','\'(79.825-85.45]\'','\'(85.45-inf)\''}
@attribute end_speed {'\'(-inf-73.225]\'','\'(73.225-78.15]\'','\'(78.15-83.075]\'','\'(83.075-inf)\''}
@attribute spin_dir {'\'(-inf-92.50075]\'','\'(92.50075-180.9785]\'','\'(180.9785-269.45625]\'','\'(269.45625-inf)\''}
@attribute spin_rate {'\'(-inf-1760.3625]\'','\'(1760.3625-2108.238]\'','\'(2108.238-inf)\''}
@attribute sz_bot {'\'(-inf-1.49275]\'','\'(1.49275-1.5375]\'','\'(1.5375-1.58225]\'','\'(1.58225-inf)\''}
@attribute sz_top {'\'(-inf-3.21525]\'','\'(3.21525-3.3265]\'','\'(3.3265-inf)\''}
@attribute zone {'\'(-inf-4.25]\'','\'(4.25-7.5]\'','\'(7.5-10.75]\'','\'(10.75-inf)\''}
@attribute decision {Strike,Ball}

@data
'\'(-inf-3]\'',top,'\'All\'','Jean Segura','Seattle Mariners',R,'Brad Peacock','Houston Astros',R,'\'(-inf-1.5]\'','\'(-inf-0.5]\'',slider,'\'(0.883-inf)\'','\'(-inf-0.75]\'','\'(-inf-0.5]\'','\'(-inf-0.25]\'','\'(-inf-3]\'','\'(-inf--14.675]\'','\'(6.075-9.15]\'','\'(23.75-inf)\'','\'(79.825-85.45]\'','\'(73.225-78.15]\'','\'(92.50075-180.9785]\'','\'(2108.238-inf)\'','\'(1.49275-1.5375]\'','\'(3.21525-3.3265]\'','\'(-inf-4.25]\'',Strike
'\'(-inf-3]\'',top,'\'All\'','Jean Segura','Seattle Mariners',R,'Brad Peacock','Houston Astros',R,'\'(-inf-1.5]\'','\'(-inf-0.5]\'','two-seam fastball','\'(0.771-0.883]\'','\'(-inf-0.75]\'','\'(0.5-inf)\'','\'(-inf-0.25]\'','\'(-inf-3]\'','\'(27.775-inf)\'','\'(-inf-6.075]\'','\'(23.75-inf)\'','\'(85.45-inf)\'','\'(83.075-inf)\'','\'(180.9785-269.45625]\'','\'(2108.238-inf)\'','\'(1.49275-1.5375]\'','\'(3.21525-3.3265]\'','\'(10.75-inf)\'',Ball
'\'(-inf-3]\'',top,'\'All\'','Jean Segura','Seattle Mariners',R,'Brad Peacock','Houston Astros',R,'\'(-inf-1.5]\'','\'(-inf-0.5]\'','four-seam fastball','\'(-inf-0.659]\'','\'(0.75-1.5]\'','\'(0.5-inf)\'','\'(-inf-0.25]\'','\'(-inf-3]\'','\'(27.775-inf)\'','\'(-inf-6.075]\'','\'(23.75-inf)\'','\'(85.45-inf)\'','\'(83.075-inf)\'','\'(180.9785-269.45625]\'','\'(2108.238-inf)\'','\'(1.49275-1.5375]\'','\'(3.21525-3.3265]\'','\'(4.25-7.5]\'',Strike
'\'(-inf-3]\'',top,'\'All\'','Jean Segura','Seattle Mariners',R,'Brad Peacock','Houston Astros',R,'\'(-inf-1.5]\'','\'(-inf-0.5]\'',slider,'\'(0.883-inf)\'','\'(0.75-1.5]\'','\'(0.5-inf)\'','\'(0.25-inf)\'','\'(3-5]\'','\'(-inf--14.675]\'','\'(6.075-9.15]\'','\'(23.75-inf)\'','\'(79.825-85.45]\'','\'(73.225-78.15]\'','\'(92.50075-180.9785]\'','\'(2108.238-inf)\'','\'(1.49275-1.5375]\'','\'(3.21525-3.3265]\'','\'(10.75-inf)\'',Strike
'\'(-inf-3]\'',top,'\'All\'','Benjamin Gamel','Seattle Mariners',L,'Brad Peacock','Houston Astros',R,'\'(-inf-1.5]\'','\'(-inf-0.5]\'','knuckle curveball','\'(-inf-0.659]\'','\'(-inf-0.75]\'','\'(-inf-0.5]\'','\'(-inf-0.25]\'','\'(-inf-3]\'','\'(-14.675-6.55]\'','\'(12.225-inf)\'','\'(23.75-inf)\'','\'(-inf-79.825]\'','\'(-inf-73.225]\'','\'(-inf-92.50075]\'','\'(2108.238-inf)\'','\'(1.49275-1.5375]\'','\'(3.21525-3.3265]\'','\'(10.75-inf)\'',Ball
'\'(-inf-3]\'',top,'\'All\'','Benjamin Gamel','Seattle Mariners',L,'Brad Peacock','Houston Astros',R,'\'(-inf-1.5]\'','\'(-inf-0.5]\'','two-seam fastball','\'(0.883-inf)\'','\'(0.75-1.5]\'','\'(-inf-0.5]\'','\'(-inf-0.25]\'','\'(-inf-3]\'','\'(27.775-inf)\'','\'(6.075-9.15]\'','\'(23.75-inf)\'','\'(85.45-inf)\'','\'(83.075-inf)\'','\'(180.9785-269.45625]\'','\'(2108.238-inf)\'','\'(1.49275-1.5375]\'','\'(3.21525-3.3265]\'','\'(10.75-inf)\'',Ball
'\'(-inf-3]\'',top,'\'All\'','Benjamin Gamel','Seattle Mariners',L,'Brad Peacock','Houston Astros',R,'\'(-inf-1.5]\'','\'(-inf-0.5]\'','four-seam fastball','\'(0.659-0.771]\'','\'(1.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.25]\'','\'(-inf-3]\'','\'(27.775-inf)\'','\'(-inf-6.075]\'','\'(23.75-inf)\'','\'(85.45-inf)\'','\'(83.075-inf)\'','\'(180.9785-269.45625]\'','\'(2108.238-inf)\'','\'(1.49275-1.5375]\'','\'(3.21525-3.3265]\'','\'(10.75-inf)\'',Strike
'\'(-inf-3]\'',top,'\'All\'','Benjamin Gamel','Seattle Mariners',L,'Brad Peacock','Houston Astros',R,'\'(-inf-1.5]\'','\'(-inf-0.5]\'',slider,'\'(0.883-inf)\'','\'(1.5-inf)\'','\'(0.5-inf)\'','\'(0.25-inf)\'','\'(3-5]\'','\'(-14.675-6.55]\'','\'(6.075-9.15]\'','\'(23.75-inf)\'','\'(79.825-85.45]\'','\'(73.225-78.15]\'','\'(92.50075-180.9785]\'',?,'\'(1.49275-1.5375]\'','\'(3.21525-3.3265]\'','\'(4.25-7.5]\'',Strike
'\'(-inf-3]\'',top,'\'All\'','Robinson Cano','Seattle Mariners',L,'Brad Peacock','Houston Astros',R,'\'(-inf-1.5]\'','\'(-inf-0.5]\'',slider,'\'(0.883-inf)\'','\'(-inf-0.75]\'','\'(-inf-0.5]\'','\'(-inf-0.25]\'','\'(-inf-3]\'','\'(-14.675-6.55]\'','\'(6.075-9.15]\'','\'(23.75-inf)\'','\'(79.825-85.45]\'','\'(73.225-78.15]\'','\'(92.50075-180.9785]\'',?,'\'(1.49275-1.5375]\'','\'(3.21525-3.3265]\'','\'(10.75-inf)\'',Strike
'\'(-inf-3]\'',top,'\'All\'','Robinson Cano','Seattle Mariners',L,'Brad Peacock','Houston Astros',R,'\'(-inf-1.5]\'','\'(-inf-0.5]\'',slider,'\'(0.771-0.883]\'','\'(-inf-0.75]\'','\'(0.5-inf)\'','\'(-inf-0.25]\'','\'(-inf-3]\'','\'(-14.675-6.55]\'','\'(12.225-inf)\'','\'(23.75-inf)\'','\'(-inf-79.825]\'','\'(-inf-73.225]\'','\'(-inf-92.50075]\'','\'(2108.238-inf)\'','\'(1.49275-1.5375]\'','\'(3.21525-3.3265]\'','\'(7.5-10.75]\'',Strike
